"id","chat_id","user_message","corrected_message","ai_response","wrong_message","feedback","images","videos","links","created_at","updated_at"
1,1,"the primary purpose of crop production is to feed human and living being.","The primary purpose of crop production is to feed humans and living beings, providing essential nutrition and resources for survival.",NULL,NULL,"null","{}","{}","{}","2025-10-31 06:29:46.925","2025-10-31 06:29:46.925"
2,2,"Got it",NULL,"What are the main components involved in crop production?",NULL,"null","{}","{}","{}","2025-10-31 06:30:04.465","2025-10-31 06:30:04.465"
3,4,"The main components involved in crop production are land preparation, seed selection, sowing, crop care, pest and disease management, harvesting, and post-harvest handling.",NULL,"Great — correct!",NULL,"{""is_correct"": true, ""bubble_color"": ""green""}","{}","{}","{}","2025-10-31 06:31:24.4","2025-10-31 06:31:24.4"
4,4,"The main components involved in crop production are land preparation, seed selection, sowing, crop care, pest and disease management, harvesting, and post-harvest handling.","","Great — correct!",NULL,"{""is_correct"": true, ""bubble_color"": ""green""}","{}","{}","{}","2025-10-31 06:31:27.767","2025-10-31 06:31:27.767"
5,7,"soil prepartion is the technique to prepare before planting crops to enrich the quality.","Soil preparation is the technique used to prepare the land before planting crops to enrich its quality. This includes methods like tilling, adding organic matter, and removing weeds.",NULL,NULL,"null","{}","{}","{}","2025-10-31 06:39:19.101","2025-10-31 06:39:19.101"
6,8,"The purpose of sowing seeds in a fiield is to grow cros for food, fber, or other agricultural producs.","The purpose of sowing seeds in a field is to grow crops for food, fiber, or other agricultural products.",NULL,NULL,"null","{}","{}","{}","2025-10-31 08:38:13.11","2025-10-31 08:38:13.11"
7,9,"i dont know",NULL,"What is soil preparation?",NULL,"null","{}","{}","{}","2025-10-31 10:40:38.075","2025-10-31 10:40:38.075"
8,11,"to prepare soil for crops",NULL,"What are the main methods of soil preparation for crop cultivation?",NULL,"null","{}","{}","{}","2025-10-31 10:40:53.984","2025-10-31 10:40:53.984"
9,13,"A microorganism is a tiny living organism that is too big  to be seen with the naked eye","A microorganism is a tiny living organism that is too small to be seen with the naked eye.",NULL,NULL,"null","{}","{}","{}","2025-10-31 10:53:41.485","2025-10-31 10:53:41.485"
10,14,"to store water which can be later used for argiculture .","The importance of irrigation in crop production is to store water that can be later used for agriculture.",NULL,NULL,"null","{}","{}","{}","2025-10-31 11:01:06.128","2025-10-31 11:01:06.128"
11,15,"to store water",NULL,"<del>to store water</del> <ins>Irrigation is important in crop production because it provides a reliable water supply for plants, ensuring their growth and productivity.</ins>",NULL,"null","{}","{}","{}","2025-10-31 11:06:30.184","2025-10-31 11:06:30.184"
12,17,"to store water",NULL,"What is the purpose of irrigation in agriculture?",NULL,"null","{}","{}","{}","2025-10-31 11:10:29.872","2025-10-31 11:10:29.872"
13,19,"to store water",NULL,"What is the purpose of irrigation in agriculture?",NULL,"null","{}","{}","{}","2025-10-31 11:10:59.862","2025-10-31 11:10:59.862"
22,36,"Manurs are orgnic substanses like farmyad wast and compst that enrich soil fertlity naturrally.","Manures are organic substances like farmyard waste and compost that enrich soil fertility naturally.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 12:15:00.494","2025-10-31 12:15:00.494"
14,21,"tostore water","To store water is important for irrigation as it allows farmers to have a reliable supply during dry periods.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 11:11:27.59","2025-10-31 11:11:27.59"
15,23,"to store water",NULL,"What is the purpose of irrigation in agriculture?",NULL,"null","{}","{}","{}","2025-10-31 11:13:05.395","2025-10-31 11:13:05.395"
16,25,"corona virus,flu,hiv .",NULL,"What are some harmful effects of the coronavirus, flu, and HIV on human health?",NULL,"null","{}","{}","{}","2025-10-31 11:26:46.158","2025-10-31 11:26:46.158"
18,29,"corna virus and hiv and flu","The harmful microorganisms include the coronavirus, HIV, and the influenza virus, which can cause serious health issues.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 11:28:00.833","2025-10-31 11:28:00.833"
17,27,"they kill human and make them sick","Harmful microorganisms can cause diseases that may lead to serious health issues or even death in humans.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 11:27:23.13","2025-10-31 11:27:23.13"
19,31,"corona virus and flu fever","Coronaviruses and influenza viruses are harmful microorganisms that can cause fever and respiratory illness.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 11:28:37.208","2025-10-31 11:28:37.208"
23,37,"Got it",NULL,"What are the main types of manures used in agriculture?",NULL,"null","{}","{}","{}","2025-10-31 12:15:16.368","2025-10-31 12:15:16.368"
20,33,"Manurs are orgnic substanses like farmyad wast and compst that enrich soil fertlity naturrally.","Manures are organic substances like farmyard waste and compost that enrich soil fertility naturally.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 12:14:40.829","2025-10-31 12:14:40.829"
21,34,"Got it",NULL,"What are the main types of manures?",NULL,"null","{}","{}","{}","2025-10-31 12:14:48.927","2025-10-31 12:14:48.927"
25,40,"Explain",NULL,"What is manure?",NULL,"null","{}","{}","{}","2025-10-31 12:21:20.542","2025-10-31 12:21:20.542"
24,39,"Manurs are orgnic substanses like farmyad wast and compst that enrich soil fertlity naturrally","Manures are organic substances like farmyard waste and compost that enrich soil fertility naturally. They improve soil structure and provide essential nutrients for plants.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-10-31 12:21:08.895","2025-10-31 12:21:08.895"
26,42,"when the crops started to see well cultivated and dryed . that determint the crops can be cutted .","When the crops are well cultivated and dry, it indicates that they are ready to be cut. This is important because harvesting at the right time ensures the best quality of the crop.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 12:51:49.945","2025-10-31 12:51:49.945"
27,44,"when crops are dry and well cultivated that say that it can be cutted and harvestdd","When the crops are well cultivated and dry, it indicates that they are ready to be cut. This is important because harvesting at the right time ensures the best quality of the crop.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 12:53:17.856","2025-10-31 12:53:17.856"
28,46,"when it grows big and ready for cultiavtion","That's exactly right! Harvesting at the right time ensures the best quality of the crop, which is indicated when the crops are well cultivated and dry.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 12:53:54.291","2025-10-31 12:53:54.291"
54,115,"force is pull or push","That's exactly right! Force is a push or pull on an object.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:33:59.557","2025-11-03 06:33:59.557"
29,49,"the benfiacial organimsa is Rhizobiummm","The beneficial microorganism is Rhizobium. Rhizobium is a type of bacteria that helps in fixing nitrogen in the soil, which is essential for plant growth.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:10:47.637","2025-10-31 13:10:47.637"
30,51,"Rhizobium, Lactobasillus, Trichodurma, and Azotobactor are benifical microgrismz that help plents gro beter and helthy","Rhizobium, Lactobacillus, Trichoderma, and Azotobacter are beneficial microorganisms that help plants grow better and healthy.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:11:58.922","2025-10-31 13:11:58.922"
31,54,"Trichodurma is a benicqal organisma that protecs plents from root rot and helps them gro strong by fightin bad fungis in the soil","Trichoderma is a beneficial organism that protects plants from root rot and helps them grow strong by fighting bad fungi in the soil.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:12:57.238","2025-10-31 13:12:57.238"
37,68,"Some techniks for cultivatin benifical microorgnismz includ usin agar plates, liqwid broths, fermentors, and tempurature-controll'd incubators.","Some techniques for cultivating beneficial microorganisms include using agar plates, liquid broths, fermentors, and temperature-controlled incubators.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:18:48.892","2025-10-31 13:18:48.892"
32,57,"help human helth by boostin immunity, aidin digestion, makin medisin, and keepin gut happy","Beneficial microorganisms help human health by boosting immunity, aiding digestion, making medicine, and keeping the gut happy. They play a crucial role in maintaining overall well-being.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:14:02.576","2025-10-31 13:14:02.576"
33,59,"Benifical microorgnismz help human helth by improvin digeshun, makin medisin, and keepin gut bacterias in balanse","Beneficial microorganisms help human health by improving digestion, making medicine, and keeping gut bacteria in balance.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:15:26.855","2025-10-31 13:15:26.855"
42,79,"force is a push orpull on objectt","Force is a push or pull acting on an object. It can cause an object to move, stop, or change direction.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 14:21:56.109","2025-10-31 14:21:56.109"
34,61,"Benifical microorgnismz help in food produckshun by makin yogart, chees, bred, picklz, and tasty fermentid stuff","Beneficial microorganisms help in food production by making yogurt, cheese, bread, pickles, and tasty fermented foods.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:16:12.438","2025-10-31 13:16:12.438"
38,70,"Macro organisma like wormz, beez, and beetlz help food produckshun by pollinatin crops, improvin soil, and eatin pests","Beneficial organisms like worms, bees, and beetles help food production by pollinating crops, improving soil, and eating pests.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:19:39.983","2025-10-31 13:19:39.983"
35,63,"One way benifical organisma help in argiculut is by fixin nitrojen in soil so plents can gro bete","One way beneficial microorganisms help in agriculture is by fixing nitrogen in the soil so plants can grow better. This process enriches the soil and supports healthy plant development.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:17:05.617","2025-10-31 13:17:05.617"
36,65,"One methud for culyibaating Lactobasillus in lab is growin it on MRS agar at warm temprature to make yogart bugs","One method for cultivating Lactobacillus in the lab is growing it on MRS agar at warm temperature to make yogurt cultures.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:18:10.017","2025-10-31 13:18:10.017"
39,72,"i dont know",NULL,"What are some examples of beneficial microorganisms?",NULL,"null","{}","{}","{}","2025-10-31 13:20:13.952","2025-10-31 13:20:13.952"
40,74,"Macro organisma like wormz, beez, and beetlz help food produckshun by pollinatin crops, improvin soil, and eatin pests","Beneficial organisms like worms, bees, and beetles help food production by pollinating crops, improving soil, and eating pests. They play a crucial role in maintaining healthy ecosystems and supporting agriculture.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 13:20:53.974","2025-10-31 13:20:53.974"
41,77,"force is pull or push","Force is a push or pull acting on an object. It can cause an object to move, stop, or change direction.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 14:21:23.679","2025-10-31 14:21:23.679"
43,82,"si unit of force is newton.","The SI unit of force is Newton (N).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 14:23:40.206","2025-10-31 14:23:40.206"
47,92,"i dont know what is coomon weeds","Common weeds are plants that grow where they are not wanted and can compete with crops for resources. Examples include dandelions, crabgrass, and pigweed.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 05:59:20.307","2025-11-03 05:59:20.307"
44,85,"si unit of force newtonn","The SI unit of force is Newton (N).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-10-31 14:25:36.516","2025-10-31 14:25:36.516"
45,88,"i dont know",NULL,"What is the difference between contact forces and non-contact forces?",NULL,"null","{}","{}","{}","2025-10-31 14:26:04.344","2025-10-31 14:26:04.344"
46,90,"conctant for are thoose which is conneted of object","Contact forces are those which act on an object through direct physical interaction, like friction or tension.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-10-31 14:27:03.968","2025-10-31 14:27:03.968"
48,94,"i dont know",NULL,"What is a common disease caused by bacteria?",NULL,"null","{}","{}","{}","2025-11-03 06:13:40.302","2025-11-03 06:13:40.302"
49,96,"i dont know",NULL,"What is a common disease caused by bacteria?",NULL,"null","{}","{}","{}","2025-11-03 06:14:08.386","2025-11-03 06:14:08.386"
50,98,"fiver and all other which can lead to ill","Fever is a common symptom of many diseases, indicating the body is fighting an infection. Other diseases caused by microorganisms include flu, tuberculosis, and malaria.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:14:32.098","2025-11-03 06:14:32.098"
51,103,"i dont know",NULL,"What is gravitational force?",NULL,"null","{}","{}","{}","2025-11-03 06:21:29.938","2025-11-03 06:21:29.938"
52,105,"expalin the question",NULL,"What is gravitational force?",NULL,"null","{}","{}","{}","2025-11-03 06:21:45.203","2025-11-03 06:21:45.203"
53,107,"gravition force is that which pull object toward earth surfqace","Gravitational force is the force that pulls objects toward the Earth's surface. It's what keeps us grounded.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:22:22.02","2025-11-03 06:22:22.02"
55,121,"i dont know","Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa) or pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:36:27.186","2025-11-03 06:36:27.186"
66,162,"the process of formation of coal is called carbonaztion","That's almost right! The process of formation of coal is called carbonization. It involves the transformation of plant remains into coal over millions of years.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:59:33.816","2025-11-03 06:59:33.816"
56,123,"presure is defined as the force applied per unit area","That's exactly right! Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa) or pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:37:44.215","2025-11-03 06:37:44.215"
57,127,"got it",NULL,"Great! Let's continue.",NULL,"null","{}","{}","{}","2025-11-03 06:40:33.475","2025-11-03 06:40:33.475"
58,130,"force X mass is the formula","That's exactly right! Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa) or pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:41:24.094","2025-11-03 06:41:24.094"
59,133,"you have already asked this question",NULL,"What is the formula for calculating pressure?",NULL,"null","{}","{}","{}","2025-11-03 06:43:19.397","2025-11-03 06:43:19.397"
72,175,"Synthetic fiber is a man-made thread-like material created through chemical processes, ofte usng petroleum-based polymers","That's exactly right! Synthetic fiber is a man-made thread-like material created through chemical processes, often using petroleum-based polymers.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 08:07:40.55","2025-11-03 08:07:40.55"
67,164,"i dont know","Synthetic fibres are man-made materials created from chemical processes. They differ from natural fibres, which come from plants or animals.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 07:38:52.977","2025-11-03 07:38:52.977"
60,135,"i dont know can you expalin","That's exactly right! Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa) or pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:49:23.09","2025-11-03 06:49:23.09"
61,141,"got it.",NULL,"Great! Let's continue.",NULL,"null","{}","{}","{}","2025-11-03 06:49:48.842","2025-11-03 06:49:48.842"
62,144,"force is applied on surface rea","That's exactly right! Pressure is the force applied per unit area, and it is measured in units like Pascals (Pa) or pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:50:20.888","2025-11-03 06:50:20.888"
63,147,"carbon is used for caol formation.","That's almost right! Carbon is a key component in coal formation, which occurs from plant remains over millions of years.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 06:57:07.208","2025-11-03 06:57:07.208"
68,166,"synthectic fibres are man made materials created from chemical process",NULL,"That's exactly right! Great understanding!",NULL,"null","{}","{}","{}","2025-11-03 07:39:57.954","2025-11-03 07:39:57.954"
64,149,"i dont know","Coal is formed from the remains of plants that accumulated in swampy areas, undergoing heat and pressure over millions of years. This process transforms the plant material into coal through several stages.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:57:30.972","2025-11-03 06:57:30.972"
65,154,"i dont know","Coal is formed from plant remains through a process called carbonization over millions of years. This process involves heat and pressure transforming the plant material into coal.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 06:58:17.073","2025-11-03 06:58:17.073"
76,182,"the properties of non metals are they do not coundect eletricty .","That's exactly right! Non-metals typically do not conduct electricity well, which is a key property.",NULL,NULL,"null","{}","{}","{}","2025-11-03 08:54:12.61","2025-11-03 08:54:12.61"
69,169,"Got it",NULL,"What are some examples of synthetic fibres?",NULL,"null","{}","{}","{}","2025-11-03 07:40:06.756","2025-11-03 07:40:06.756"
70,171,"nylon, cotton",NULL,"What are the main differences between synthetic fibres and natural fibres?",NULL,"null","{}","{}","{}","2025-11-03 07:40:35.184","2025-11-03 07:40:35.184"
73,177,"Polyester is a synthetic fiber made from petroleum-based polymers, known for its durability, wrinkle resistans","Polyester is a synthetic fiber made from petroleum-based polymers, known for its durability and wrinkle resistance. It's commonly used in clothing and home textiles.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 08:08:45.729","2025-11-03 08:08:45.729"
71,173,"synthectic fibres are man made and natural fiber are natural made by environment","That's exactly right! Synthetic fibres are man-made materials created from chemical processes. They differ from natural fibres, which come from plants or animals.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 07:41:39.642","2025-11-03 07:41:39.642"
74,179,"carbon is non meta","That's exactly right! Carbon is indeed classified as a non-metal, which means it lacks metallic properties.",NULL,NULL,"null","{}","{}","{}","2025-11-03 08:53:15.46","2025-11-03 08:53:15.46"
75,180,"Got it, I understand. Let's move to the next topic.",NULL,"What are some common properties of non-metals?",NULL,"null","{}","{}","{}","2025-11-03 08:53:22.561","2025-11-03 08:53:22.561"
77,183,"Got it, I understand. Let's move to the next topic.",NULL,"What are some common properties of non-metals?",NULL,"null","{}","{}","{}","2025-11-03 08:54:27.775","2025-11-03 08:54:27.775"
78,185,"i dont know","Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa), atmospheres (atm), and pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 08:58:02.46","2025-11-03 08:58:02.46"
79,187,"force into area of the surface isthe formal to claute the pressure","That's exactly right! Pressure is defined as the force applied per unit area. It is measured in units such as Pascals (Pa), atmospheres (atm), and pounds per square inch (psi).",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 08:58:42.238","2025-11-03 08:58:42.238"
80,190,"The main components of a hydraulic system include the reseroir, pump, valves, actuators, filtes, and pipes","The main components of a hydraulic system include the reservoir, pump, valves, actuators, filters, and pipes.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:00:03.564","2025-11-03 09:00:03.564"
81,193,"The main components of a hydraulic system include the reservoir, pump, valves, actuators, filters, and hoses/pipes","That's exactly right! The main components of a hydraulic system are the reservoir, pump, valves, actuators, filters, and hoses or pipes.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:00:45.182","2025-11-03 09:00:45.182"
97,244,"Aluminm is one of the most commonly used metals in everyday life","That's exactly right! Aluminum is indeed one of the most commonly used metals in everyday life. It's lightweight and resistant to corrosion, making it ideal for many applications like packaging, construction, and transportation.",NULL,NULL,"{""error_type"": ""Spelling"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 12:19:33.633","2025-11-03 12:19:33.633"
82,196,"i dont know","Friction is a force that opposes motion between two surfaces. It acts in the opposite direction of the movement, slowing things down.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:07:18.039","2025-11-03 09:07:18.039"
94,230,"the main component of cell memrance is nucleus","The main components of the cell membrane are phospholipids, proteins, and carbohydrates. The nucleus is not a component of the cell membrane.",NULL,NULL,"{""error_type"": ""Conceptual"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 30, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:40:42.38","2025-11-03 09:40:42.38"
83,198,"surface friction and contact friction","That's exactly right! Friction is a force that opposes motion between two surfaces. It acts in the opposite direction of movement, slowing things down.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:07:44.781","2025-11-03 09:07:44.781"
